| default                                                           | CreateLogStream                     | 32    |
| default                                                           | Decrypt                             | 50    |
| AWSServiceRoleForApplicationAutoScaling_DynamoDBTable             | DescribeTable                       | 1506  |
| AstraSandBoxCrossAccount                                          | DescribeAlarms                      | 56    |
| AstraSandBoxCrossAccount                                          | DescribePolicies                    | 1     |
| AstraSandBoxCrossAccount                                          | DescribeReservedCapacity            | 5     |
| AstraSandBoxCrossAccount                                          | DescribeScalableTargets             | 30    |
| AstraSandBoxCrossAccount                                          | DescribeScalingPolicies             | 1     |
| AstraSandBoxCrossAccount                                          | DescribeTable                       | 80    |
| AstraSandBoxCrossAccount                                          | ListSubscriptions                   | 2     |
| AstraSandBoxCrossAccount                                          | ListTables                          | 29    |
| AstraSandBoxCrossAccount                                          | ListTopics                          | 1     |
| astra-aws-dome9-EventParserRole-58E992186FE9                      | CreateLogStream                     | 34    |
| astra-aws-dome9-EventParserRole-58E992186FE9                      | Decrypt                             | 142   |
| astra-aws-dome9-accounts-AccountManagerRole-4D27F73AA8D7          | DescribeStream                      | 722   |
| astra-aws-dome9-compliance-AlertForwarderRole-4F018C4F9B7D        | CreateLogStream                     | 6     |
| astra-aws-dome9-compliance-AlertForwarderRole-4F018C4F9B7D        | Decrypt                             | 44    |
| astra-aws-dome9-compliance-AlertsFilterRole-4606E4313F3C         | CreateLogStream                     | 1862  |
| astra-aws-dome9-compliance-AlertsFilterRole-4606E4313F3C         | Decrypt                             | 145   |
| astra-aws-dome9-compliance-AlertsFilterRole-4606E4313F3C         | GenerateDataKey                     | 11    |
| astra-aws-dome9-compliance-CloudSupervisorRole-DD16255FD68B       | CreateLogStream                     | 117   |
| astra-aws-dome9-compliance-CloudSupervisorRole-DD16255FD68B       | Decrypt                             | 178   |
| astra-aws-dome9-compliance-CloudSupervisorRole-DD16255FD68B       | GenerateDataKey                     | 3     |
| astra-aws-dome9-compliance-InventoryCollectorRole-FB1C02BD3B92    | CreateLogStream                     | 192   |
| astra-aws-dome9-compliance-InventoryCollectorRole-FB1C02BD3B92    | Decrypt                             | 237   |
| astra-aws-dome9-compliance-RemediatorRole-89E997857FDF            | AssumeRole                          | 170   |
| astra-aws-dome9-compliance-RemediatorRole-89E997857FDF            | CreateLogStream                     | 117   |
| astra-aws-dome9-compliance-RemediatorRole-89E997857FDF            | Decrypt                             | 308   |
| astra-aws-dome9-compliance-RemediatorRole-89E997857FDF            | GetParametersByPath                 | 120   |
| astra-aws-dome9-compliance-SchedulerRole-02F57419DBEE             | CreateLogStream                     | 4     |
| astra-aws-dome9-compliance-SchedulerRole-02F57419DBEE             | Decrypt                             | 239   |
| astra-aws-dome9-compliance-SchedulerRole-02F57419DBEE             | GetParametersByPath                 | 51    |
| astra-aws-dome9-es-indexer-AstraD9ESIndexerRole-A5817F6D0474      | CreateLogStream                     | 1940  |
| astra-aws-dome9-es-indexer-AstraD9ESIndexerRole-A5817F6D0474      | Decrypt                             | 145   |
| astra-aws-dome9-ses-notif-AstraAccountNotifierRole-04472EADAD5F   | CreateLogStream                     | 7     |
| astra-aws-dome9-ses-notif-AstraAccountNotifierRole-04472EADAD5F   | Decrypt                             | 35    |
| astra-aws-ecomp-workload-AstraAWSEcompWorkloadIns-9CEF8CFB96F7    | CreateLogStream                     | 8     |
| astra-aws-ecomp-workload-AstraAWSEcompWorkloadIns-9CEF8CFB96F7    | Decrypt                             | 115   |
| astra-aws-ecomp-workload-AstraAWSEcompWorkloadIns-9CEF8CFB96F7    | GenerateDataKey                     | 7     |
| astra-aws-es-optimizer-AstraAWSESOptimizerRole-95499A613483       | CreateLogStream                     | 3     |
| astra-aws-es-optimizer-AstraAWSESOptimizerRole-95499A613483       | Decrypt                             | 242   |
| astra-aws-es-optimizer-AstraAWSESOptimizerRole-95499A613483       | GenerateDataKey                     | 8     |
| astra-aws-inspector-summa-AstraAWSInspectorSummary-97638A505895   | CreateLogStream                     | 5     |
| astra-aws-inspector-summa-AstraAWSInspectorSummary-97638A505895   | Decrypt                             | 126   |
| astra-aws-lumberjack-LogRole-912C7DFD4F8F                         | GenerateDataKey                     | 104   |
| astra-aws-lumberjack-S3deliveryRole-FAFB29516087                  | Decrypt                             | 138   |
| astra-aws-lumberjack-S3deliveryRole-FAFB29516087                  | DescribeStream                      | 45    |
| astra-aws-lumberjack-S3deliveryRole-FAFB29516087                  | GenerateDataKey                     | 258   |
| astra-aws-lumberjack-S3deliveryRole-FAFB29516087                  | GetFunctionConfiguration20150331v2  | 63    |
| astra-aws-lumberjack-firehoseLambdaRole-71AC141D843D              | CreateLogStream                     | 3     |
| astra-aws-lumberjack-firehoseLambdaRole-71AC141D843D              | Decrypt                             | 144   |
| astra-aws-lumberjack-stormLambdaRole-7DE66878D95C                 | CreateLogStream                     | 4     |
| astra-aws-lumberjack-stormLambdaRole-7DE66878D95C                 | Decrypt                             | 402   |
| astra-aws-lumberjack-stormLambdaRole-7DE66878D95C                 | GenerateDataKey                     | 261   |
| astra-aws-report-schedule-AstraAWSReportSchedulerR-8AA429C537D3  | Decrypt                             | 13    |
| astra-aws-report-schedule-AstraAWSReportSchedulerR-8CA4B0DF43E4  | Decrypt                             | 25    |
| astra-aws-workload-inspec-AstraAWSWorkloadInspecto-4175056BF587  | CreateLogStream                     | 6     |
| astra-aws-workload-inspec-AstraAWSWorkloadInspecto-4175056BF587  | Decrypt                             | 113   |
| astra-aws-workload-inspec-AstraAWSWorkloadInspecto-4175056BF587  | GenerateDataKey                     | 6     |
| astra-aws-workload-svm-re-AstraLambdaGetSvmSummari-2863D52E9945  | CreateLogStream                     | 1     |
| astra-aws-workload-svm-re-AstraLambdaGetSvmSummari-2863D52E9945  | Decrypt                             | 70    |
| astra-aws-workload-svm-re-AstraLambdaGetSvmSummari-2863D52E9945  | GenerateDataKey                     | 18    |
| astra-aws-workload-svm-re-AstraLambdaGetSvmSummari-3A3661B45B93  | Decrypt                             | 34    |
| astra-aws-workload-svm-re-AstraLambdaGetSvmSummari-3A3661B45B93  | GenerateDataKey                     | 9     |
| astra-aws-workload-svm-report-AstraLambdaSvmWorker-4CF3CF66F239  | CreateLogStream                     | 2     |
| astra-aws-workload-svm-report-AstraLambdaSvmWorker-4CF3CF66F239  | Decrypt                             | 29    |
| astra-aws-workload-svm-report-AstraLambdaSvmWorker-4BA80B76D646  | Decrypt                             | 25    |
| astra-es-remodeller-AstraESRemodellerRole-A970D41312B4            | CreateLogStream                     | 32    |
| astra-es-remodeller-AstraESRemodellerRole-A970D41312B4            | Decrypt                             | 50    |
| test1-us-east-2                                                   | CreateLogStream                     | 12    |
| test1-us-east-2                                                   | Decrypt                             | 10    |
| test2-us-east-2                                                   | CreateLogStream                     | 12    |
| test2-us-east-2                                                   | Decrypt                             | 10    |
| test3-us-east-2                                                   | CreateLogStream                     | 12    |
| test3-us-east-2                                                   | Decrypt                             | 10    |
| test1-us-west-1                                                   | CreateLogStream                     | 12    |
| test2-us-west-1                                                   | Decrypt                             | 10    |
| test2-us-west-1                                                   | CreateLogStream                     | 12    |
| test3-us-west-1                                                   | Decrypt                             | 10    |
| test3-us-west-1                                                   | CreateLogStream                     | 12    |
| test1-eu-west-2                                                   | Decrypt                             | 10    |
| test1-eu-west-2                                                   | CreateLogStream                     | 12    |
| test2-eu-west-2                                                   | Decrypt                             | 10    |
| test2-eu-west-2                                                   | CreateLogStream                     | 12    |
| test3-eu-west-2                                                   | Decrypt                             | 10    |
| test3-eu-west-2                                                   | CreateLogStream                     | 12    |
