| default       | UnauthorizedAccess:EC2/MaliciousIPCaller.Custom  | 1    |
| default       | UnauthorizedAccess:EC2/RDPBruteForce             | 1    |
| default       | UnauthorizedAccess:EC2/SSHBruteForce             | 1    |
| default       | UnauthorizedAccess:EC2/TorIPCaller               | 1    |
| default       | UnauthorizedAccess:EC2/SSHBruteForce             | 1    |
| default       | UnauthorizedAccess:EC2/SSHBruteForce             | 1    |
| default  | Backdoor:EC2/Spambot                             | 1    |
| default  | Backdoor:EC2/XORDDOS                             | 1    |
| default  | Behavior:EC2/NetworkPortUnusual                  | 1    |
| default  | Behavior:EC2/TrafficVolumeUnusual                | 1    |
| default  | Recon:EC2/Portscan                               | 1    |
| default  | Trojan:EC2/BlackholeTraffic                      | 1    |
| default  | Trojan:EC2/DropPoint                             | 1    |
| default  | UnauthorizedAccess:IAMUser/ConsoleLoginSuccess.B | 1    |
| default  | UnauthorizedAccess:IAMUser/ConsoleLogin          | 1    |
| default  | UnauthorizedAccess:IAMUser/MaliciousIPCaller.Custom | 1 |
| default  | UnauthorizedAccess:IAMUser/UnusualASNCaller      | 1    |
| 207029387761  | UnauthorizedAccess:IAMUser/ConsoleLoginSuccess.B  | 1  |
| 207029387761  | UnauthorizedAccess:IAMUser/ConsoleLogin           | 1  |
| 207029387761  | UnauthorizedAccess:IAMUser/MaliciousIPCaller.Custom | 1 |
| 207029387761  | UnauthorizedAccess:IAMUser/UnusualASNCaller      | 1    |
| 207029387761  | Backdoor:EC2/Spambot                             | 1    |
| 207029387761  | Backdoor:EC2/XORDDOS                             | 1    |
| 207029387761  | Behavior:EC2/NetworkPortUnusual                  | 1    |
| 207029387761  | Behavior:EC2/TrafficVolumeUnusual                | 1    |
| 207029387761  | Recon:EC2/Portscan                               | 1    |
| 207029387761  | Trojan:EC2/BlackholeTraffic                      | 1    |
| 207029387761  | Trojan:EC2/DropPoint                             | 1    |
| 207029387761  | UnauthorizedAccess:EC2/MaliciousIPCaller.Custom  | 1    |
| 207029387761  | UnauthorizedAccess:EC2/RDPBruteForce             | 1    |
| 207029387761  | UnauthorizedAccess:EC2/SSHBruteForce             | 1    |
| 207029387761  | UnauthorizedAccess:EC2/TorIPCaller               | 1    |
| 725689667482  | UnauthorizedAccess:EC2/SSHBruteForce             | 1    |
| 725689667482  | UnauthorizedAccess:EC2/SSHBruteForce             | 1    |
| 725689667482  | Backdoor:EC2/Spambot                             | 2    |
| 725689667482  | Backdoor:EC2/XORDDOS                             | 2    |
| 725689667482  | Behavior:EC2/NetworkPortUnusual                  | 2    |
| 725689667482  | Behavior:EC2/TrafficVolumeUnusual                | 2    |
| 725689667482  | Recon:EC2/Portscan                               | 2    |
| 725689667482  | Trojan:EC2/BlackholeTraffic                      | 2    |
| 725689667482  | Trojan:EC2/DropPoint                             | 2    |
| 725689667482  | UnauthorizedAccess:EC2/MaliciousIPCaller.Custom  | 2    |
| 725689667482  | UnauthorizedAccess:EC2/RDPBruteForce             | 2    |
| 725689667482  | UnauthorizedAccess:EC2/SSHBruteForce             | 2    |
| 725689667482  | UnauthorizedAccess:EC2/TorIPCaller               | 2    |
| 725689667482  | UnauthorizedAccess:IAMUser/ConsoleLoginSuccess.B | 1    |
| 725689667482  | UnauthorizedAccess:IAMUser/ConsoleLogin          | 1    |
| 725689667482  | UnauthorizedAccess:IAMUser/MaliciousIPCaller.Custom | 1 |
| 725689667482  | UnauthorizedAccess:IAMUser/UnusualASNCaller      | 1    |
| test1-us-east-2 | UnauthorizedAccess:IAMUser/UnusualASNCaller | 1  |
| test2-us-east-2 | UnauthorizedAccess:IAMUser/UnusualASNCaller | 1  |
| test3-us-east-2 | UnauthorizedAccess:IAMUser/UnusualASNCaller | 1  |
| test1-us-west-1 | UnauthorizedAccess:IAMUser/UnusualASNCaller | 1  |
| test2-us-west-1 | UnauthorizedAccess:IAMUser/UnusualASNCaller | 1  |
| test3-us-west-1 | UnauthorizedAccess:IAMUser/UnusualASNCaller | 1  |
| test1-eu-west-2 | UnauthorizedAccess:IAMUser/UnusualASNCaller | 1  |
| test2-eu-west-2 | UnauthorizedAccess:IAMUser/UnusualASNCaller | 1  |
| test3-eu-west-2 | UnauthorizedAccess:IAMUser/UnusualASNCaller | 1  |
| test1-us-east-2 | UnauthorizedAccess:IAMUser/MaliciousIPCaller.Custom                   | 1  |
| test2-us-east-2 | UnauthorizedAccess:IAMUser/MaliciousIPCaller.Custom                   | 1  |
| test3-us-east-2 | UnauthorizedAccess:IAMUser/MaliciousIPCaller.Custom                   | 1  |
| test1-us-west-1 | UnauthorizedAccess:IAMUser/MaliciousIPCaller.Custom                   | 1  |
| test2-us-west-1 | UnauthorizedAccess:IAMUser/MaliciousIPCaller.Custom                   | 1  |
| test3-us-west-1 | UnauthorizedAccess:IAMUser/MaliciousIPCaller.Custom                   | 1  |
| test1-eu-west-2 | UnauthorizedAccess:IAMUser/MaliciousIPCaller.Custom                   | 1  |
| test2-eu-west-2 | UnauthorizedAccess:IAMUser/MaliciousIPCaller.Custom                   | 1  |
| test3-eu-west-2 | UnauthorizedAccess:IAMUser/MaliciousIPCaller.Custom                   | 1  |
